         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 client.py:405(close)
        1    0.000    0.000    0.000    0.000 client.py:417(flush)
        1    0.000    0.000    0.000    0.000 client.py:437(read)
        1    0.000    0.000    0.000    0.000 client.py:591(_safe_read)
        1    0.000    0.000    0.000    0.000 client.py:722(info)
        1    0.000    0.000    0.000    0.000 client.py:741(__init__)
        1    0.000    0.000    0.000    0.000 client.py:784(_get_hostport)
        1    0.000    0.000    0.000    0.000 client.py:838(connect)
        1    0.000    0.000    0.000    0.000 client.py:847(close)
        2    0.000    0.000    0.000    0.000 client.py:861(send)
        7    0.000    0.000    0.000    0.000 client.py:909(_output)
        1    0.000    0.000    0.000    0.000 client.py:916(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:930(putrequest)
        1    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        2    0.000    0.000    0.000    0.000 enum.py:209(__call__)
        2    0.000    0.000    0.000    0.000 enum.py:453(__new__)
        1    0.000    0.000    0.002    0.002 etcdlib.py:17(dorequest)
        1    0.000    0.000    0.002    0.002 etcdlib.py:89(setkey)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        2    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       11    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:148(<lambda>)
        1    0.000    0.000    0.000    0.000 feedparser.py:175(feed)
        2    0.000    0.000    0.000    0.000 feedparser.py:180(_call_parse)
        1    0.000    0.000    0.000    0.000 feedparser.py:186(close)
        1    0.000    0.000    0.000    0.000 feedparser.py:199(_new_message)
        1    0.000    0.000    0.000    0.000 feedparser.py:209(_pop_message)
        2    0.000    0.000    0.000    0.000 feedparser.py:217(_parsegen)
        1    0.000    0.000    0.000    0.000 feedparser.py:470(_parse_headers)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:69(close)
       11    0.000    0.000    0.000    0.000 feedparser.py:75(readline)
        1    0.000    0.000    0.000    0.000 feedparser.py:98(push)
        1    0.000    0.000    0.000    0.000 idna.py:147(encode)
        2    0.000    0.000    0.000    0.000 message.py:121(__init__)
        4    0.000    0.000    0.000    0.000 message.py:30(_splitparam)
        1    0.000    0.000    0.000    0.000 message.py:304(set_payload)
        9    0.000    0.000    0.000    0.000 message.py:463(get)
        8    0.000    0.000    0.000    0.000 message.py:480(set_raw)
        4    0.000    0.000    0.000    0.000 message.py:565(get_content_type)
        3    0.000    0.000    0.000    0.000 message.py:589(get_content_maintype)
        1    0.000    0.000    0.013    0.013 monitor.py:177(collect_osinfo)
        5    0.000    0.000    0.000    0.000 os.py:817(fsencode)
        2    0.000    0.000    0.000    0.000 parse.py:100(_coerce_args)
        1    0.000    0.000    0.000    0.000 parse.py:288(urlparse)
        1    0.000    0.000    0.000    0.000 parse.py:321(urlsplit)
        1    0.000    0.000    0.000    0.000 parse.py:527(unquote)
        1    0.000    0.000    0.000    0.000 parse.py:846(unwrap)
        1    0.000    0.000    0.000    0.000 parse.py:855(splittype)
        1    0.000    0.000    0.000    0.000 parse.py:868(splithost)
        2    0.000    0.000    0.000    0.000 parse.py:89(_noop)
        1    0.000    0.000    0.000    0.000 parse.py:930(splittag)
        1    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:42(parse)
        1    0.000    0.000    0.000    0.000 parser.py:60(parsestr)
